name,state,district,address,google_maps_url
Apollo Hospitals Mumbai,Maharashtra,Mumbai,"Opposite Imax, Dr. E. Borges Road, Opp. Imax, Mumbai",https://www.google.com/maps/search/Apollo+Hospitals+Mumbai
Breach Candy Hospital,Maharashtra,Mumbai,"60-A, Bhulabhai Desai Rd, Mumbai",https://www.google.com/maps/search/Breach+Candy+Hospital+Mumbai
Max Super Speciality Hospital,Delhi,Delhi,"I P Extension, Plot No A-1, Patparganj, New Delhi",https://www.google.com/maps/search/Max+Super+Speciality+Hospital+Delhi
AIIMS Delhi,Delhi,Delhi,"Ansari Nagar, New Delhi",https://www.google.com/maps/search/AIIMS+Delhi
Manipal Hospitals Bangalore,Karnataka,Bangalore,"98, Rustum Bagh, Kumara Krupa High Ground, Bangalore",https://www.google.com/maps/search/Manipal+Hospitals+Bangalore
Apollo Hospitals Bangalore,Karnataka,Bangalore,"Bannerghatta Road, Bangalore",https://www.google.com/maps/search/Apollo+Hospitals+Bangalore
Fortis Healthcare Chandigarh,Punjab,Chandigarh,"Sector 38-B, Chandigarh",https://www.google.com/maps/search/Fortis+Healthcare+Chandigarh
GMCH Chandigarh,Punjab,Chandigarh,"Sector 32-C, Chandigarh",https://www.google.com/maps/search/GMCH+Chandigarh
Sterling Hospitals Ahmedabad,Gujarat,Ahmedabad,"Opp. Karnavati Club, SG Highway, Vaishnodevi Sector, Ahmedabad",https://www.google.com/maps/search/Sterling+Hospitals+Ahmedabad
Civil Hospital Ahmedabad,Gujarat,Ahmedabad,"Asarwa, Ahmedabad",https://www.google.com/maps/search/Civil+Hospital+Ahmedabad
Vadodara Hospital,Gujarat,Vadodara,"Fatehgunj, Vadodara",https://www.google.com/maps/search/Vadodara+Hospital
Apollo Hospitals Hyderabad,Telangana,Hyderabad,"Jubilee Hills, Hyderabad",https://www.google.com/maps/search/Apollo+Hospitals+Hyderabad
Max Healthcare Kolkata,West Bengal,Kolkata,"88, Gariahat Road, Kolkata",https://www.google.com/maps/search/Max+Healthcare+Kolkata
Fortis Hospital Pune,Maharashtra,Pune,"Amanora Park Town, Pune",https://www.google.com/maps/search/Fortis+Hospital+Pune
Ruby Hall Clinic Pune,Maharashtra,Pune,"40, Sassoon Road, Pune",https://www.google.com/maps/search/Ruby+Hall+Clinic+Pune
